user_id,name,username,email,birthday,credibility,integrity,follows,trustedUsers,distrustedUsers
7888452,Émile Mercier,emile54,emile54@hotmail.com,1978-07-28,0.7871936321716384,0.4914612639071138,[16193542 14203895],[16193542],[14203895]
358845982,Sophie Marchand,sophie203,sophie203@gmail.com,1967-01-03,0.9655508247311544,0.38804854452813986,[206923844  43003845],[206923844  43003845],[]
197903282,Valérie Bernard-Gervais,valerie969,valerie969@yahoo.com,1992-07-02,0.5445196905951059,0.8001161295155913,[ 43003845 248224845],[ 43003845 248224845],[]
163629705,Marcelle Duchesne,marcelle619,marcelle619@hotmail.fr,1977-11-12,0.9202103002815948,0.7870786463624162,[ 62609430 121258930 396721965],[ 62609430 121258930],[396721965]
93906304,Nicolas Legault,nicolas602,nicolas602@yahoo.com,1988-06-04,0.9543595173283075,0.5545403914081741,[18069824],[18069824],[]
24542441,Louise Caron,louise439,louise439@tele2.fr,1966-07-30,0.6723685616514014,0.6408806743895706,[103431502],[103431502],[]
16809036,Honoré Lecomte,honore404,honore404@live.com,1969-02-28,0.4176214126232487,0.8113142936233546,[11348282 12415722],[11348282 12415722],[]
18687625,Benoît Chevallier,benoit561,benoit561@laposte.net,1997-04-06,0.9368683276113646,0.6361540444300015,[6351572],[6351572],[]
153245741,Thibaut-Julien Fournier,thibautjulien278,thibautjulien278@noos.fr,1976-05-31,0.8912774770646709,0.36729243469182316,[],[],[]
17922109,Franck Martinez,franck9,franck9@ifrance.com,1980-09-02,0.38269088582376104,0.982737867075675,[],[],[]
80660928,Gérard Paris-Fernandes,gerard184,gerard184@hotmail.com,1995-10-13,0.5819986294478108,0.9707647681831872,[11348282 12415722],[11348282 12415722],[]
2589521,Luc Lacasse,luc225,luc225@hotmail.com,1964-12-22,0.7777689894595543,0.7526379039607127,[],[],[]
14203895,Amélie Langlois,amelie806,amelie806@yahoo.com,2002-12-03,0.5629005916637979,0.7920773646182632,[7888452],[],[7888452]
8079892,Honoré Delaunay,honore352,honore352@sfr.fr,1964-01-04,0.631645873313902,0.335907258716122,[],[],[]
7668362,René Pouliot,rene88,rene88@hotmail.com,1993-04-11,0.9219631560331729,0.8392426899180905,[14203895],[14203895],[]
25649234,Jonathan Paré-Parent,jonathan396,jonathan396@gmail.com,1988-06-29,0.9200198656105576,0.3719682144859764,[121258930],[121258930],[]
13274152,Jérôme Lacroix-Rioux,jerome933,jerome933@gmail.com,1962-09-30,0.8531742412260245,0.7459453841668694,[],[],[]
19898730,Nathalie Potvin,nathalie106,nathalie106@club-internet.fr,2001-04-16,0.6017446791785761,0.893980009629964,[ 34805698 101859065 176872879],[ 34805698 101859065 176872879],[]
